SMILES_ori,SMILES_opt,PROPERTY_opt,SIMILARITY_ori_opt
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,O=C(NCC1CCCO1)c1cn(-c2ccc(F)cc2)nc1C1CC1,0.9175785754107137,0.2857142857142857
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CC(=O)Nc1ccc(-c2csc(NC(C)=O)n2)c(F)c1,0.91374659272763,0.16
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,0.9399601554398078,0.7924528301886793
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CC(C)NC(=O)c1c(C(=O)[O-])cnn1-c1cccc(Cl)c1,0.9135788062500914,0.3142857142857143
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1c(C(=O)NCCC(=O)N(C)C)cnn1-c1ccc(Cl)cc1,0.9095335691852623,0.4090909090909091
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1ccc(CCNC(=O)c2cnn(C)c2C(F)(F)F)cc1C,0.9391255020685987,0.34285714285714286
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CC1(C)CCC(NC(=O)c2cnn(-c3ccc(F)cc3)c2C2CC2)CC1,0.871985633327755,0.4393939393939394
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CC(=O)NCCN(C)C(=O)c1c(C)cnc2ccc(Cl)cc12,0.9409718651181515,0.3013698630136986
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCNC(=O)c1cnn(-c2ccc(C)cc2)c1C1CC1,0.9273967995273359,0.5614035087719298
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,O=C([O-])c1cnn(-c2ccc(O)c(Cl)c2)c1C1CC1,0.9214429867794403,0.5254237288135594
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1ccc(CCNC(=O)c2scnc2C)cc1C,0.9307954958665021,0.2571428571428571
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1cc(CCNC(=O)c2cc(C#N)cs2)c(C)s1,0.9392380844048166,0.18181818181818182
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCn1cc(C(=O)NCc2ccc(C)cc2)c(C2CC2)n1,0.9165571902377021,0.29577464788732394
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CC(=O)NCCN(C)C(=O)c1cnn(-c2ccc(Cl)cc2)c1C,0.9095335691852623,0.42424242424242425
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1ccc(-n2ncc(C(=O)N3CC(C)OC(C)C3)c2C2CC2)cc1,0.8618361504862131,0.4153846153846154
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,NC(=O)c1ccc(-n2ncc(C(=O)[O-])c2C2CC2)cc1Cl,0.9049551546954289,0.5081967213114754
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1ncc(C(=O)NCCc2ccc(C)c(C)c2)cn1,0.9267772516956216,0.2878787878787879
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,Cc1ccc(CCNC(=O)c2cnn(C)c2C)cc1C,0.9273306348489421,0.36923076923076925
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCn1cc(C(=O)NCc2cc(F)ccc2Cl)c(C2CC2)n1,0.9158127829859676,0.32
